age;ed;employ;address;income;debtinc;creddebt;othdebt;default
41;3;17;12;35.9;11.9;0.5041078;37.679.922;0
30;1;13;8;46.7;17.88;135.269.352;699.726.648;0
40;1;15;14;61.8;10.64;343.899.696;313.652.304;0
41;1;15;14;72.0;29.67;4.165.668;17.196.732;0
57;1;7;37;25.6;15.86;149.819.904;256.196.096;0
45;1;0;13;28.1;4.28;0.92486092;0.27781908;0
36;1;1;3;19.6;12.82;121.113.104;130.158.896;1
39;1;20;9;80.5;12.32;18.545.912;80.630.088;0
43;1;12;11;68.7;6.82;14.290.287;32.563.113;0
34;3;7;12;33.8;10.71;142.265.214;219.732.786;0
26;1;1;2;22.2;7.27;0.5810184;10.329.216;0
37;2;17;10;78.3;25.44;709.134.912;1.282.817.088;1
44;1;8;15;77.8;10.55;3.611.476;4.596.424;0
36;2;8;1;48.1;5.28;0.7365072;18.031.728;1
27;2;1;8;34.7;10.21;18.777.211;16.651.489;0
35;1;7;13;42.8;10.99;0.99248492;371.123.508;0
40;1;12;7;41.2;7.01;127.366.092;161.445.908;0
23;1;5;3;20.6;6.99;0.31534686;112.459.314;0
51;1;35;7;134.7;14.75;2.861.028;17.007.222;0
45;2;2;26;34.8;4.98;122.525.928;0.50778072;1
46;2;24;16;104.5;3.26;0.0442871;33.624.129;0
48;2;1;11;17.4;13.44;0.24087168;209.768.832;1
27;1;9;2;27.3;16.43;0.02691234;445.847.766;0
28;1;10;9;39.9;5.6;0.5451936;16.892.064;0
28;1;3;6;18.1;6.06;0.18207876;0.91478124;0
29;1;8;6;34.5;7.47;10.514.772;15.256.728;0
28;1;0;0;20.4;0.99;0.07512912;0.12683088;0
32;4;6;12;18.7;11.7;10.567.557;11.311.443;0
38;2;0;9;73.9;15.62;547.146.732;607.171.268;1
30;1;10;4;30.7;16.78;0.45847994;469.298.006;1
33;2;12;8;49.3;9.35;226.328.905;234.626.095;0
24;1;8;3;22.3;14.29;0.12428013;306.238.987;0
45;1;3;15;23.9;2.18;0.130255;0.390765;0
30;1;1;10;46.7;6.45;118.979.925;182.235.075;0
44;1;27;17;118.6;12.75;97.836.105;53.378.895;0
33;2;11;4;45.7;6.4;16.349.632;12.898.368;0
35;1;4;0;48.0;2.76;0.4332096;0.8915904;0
26;1;6;4;21.9;10.54;15.926.994;0.7155606;1
50;2;10;24;50.8;3.39;0.63890652;108.321.348;0
34;1;0;15;23.2;6.46;0.65793808;0.84078192;0
21;3;0;2;30.0;5.42;0.25203;137.397;1
40;2;20;20;70.5;17.16;39.438.828;81.539.172;0
45;1;23;5;71.4;4.26;0.80907624;223.256.376;0
23;1;7;2;21.8;8.2;0.509466;1.278.134;0
28;2;4;7;35.8;1.89;0.12382146;0.55279854;0
23;1;5;2;26.8;1.65;0.0981684;0.3440316;0
36;2;10;1;36.4;5.38;0.2839564;16.743.636;0
41;2;9;10;49.2;6.88;0.46712448;291.783.552;0
35;1;13;15;39.9;4.56;0.49852656;132.091.344;0
47;1;4;2;26.6;6.64;108.093.888;0.68530112;0
27;1;0;5;15.2;15.53;0.89229168;146.826.832;0
30;1;11;5;36.9;15.58;194.316.876;380.585.124;1
40;2;8;20;56.1;7.47;0.27658422;391.408.578;0
34;1;2;11;29.1;5.58;0.76480038;0.85897962;0
30;1;1;10;18.8;4.21;0.1662108;0.6252692;1
30;2;2;9;19.7;23.1;0.3276504;42.230.496;0
33;3;9;4;35.2;3.67;0.28937216;100.246.784;0
37;3;1;3;25.6;3.7;0.3192064;0.6279936;0
40;2;3;2;62.9;9.59;125.467.888;477.743.112;1
37;1;1;3;25.3;8.03;0.91015232;112.143.768;1
42;2;8;4;38.5;5.95;0.60246725;168.828.275;0
32;1;16;4;38.4;14.38;150.196.224;401.995.776;0
30;4;5;7;38.6;24.99;399.350.196;565.263.804;0
49;1;5;15;47.2;6.63;144.263.496;168.672.504;0
22;1;3;1;16.0;5.33;0.2549872;0.5978128;0
46;1;4;20;20.8;7.0;0.244608;1.211.392;0
31;1;11;11;25.0;7.44;0.87234;0.98766;1
37;1;4;0;18.7;5.45;0.4239664;0.5951836;0
42;1;10;18;48.3;19.9;6.824.307;2.787.393;1
40;1;19;14;105.6;5.93;133.382.304;492.825.696;0
42;4;11;4;86.7;11.55;509.704.965;491.680.035;1
44;1;22;23;118.7;23.3;122.797.524;153.773.476;1
28;2;2;3;29.4;4.08;0.3358656;0.8636544;0
53;1;28;32;83.4;7.2;18.734.976;41.313.024;0
34;2;15;14;57.6;2.89;0.47775168;118.688.832;0
43;2;20;7;43.7;4.73;105.004.108;101.696.892;0
48;1;20;2;77.9;10.25;0.99809375;698.665.625;0
28;1;10;3;20.8;27.85;0.7994064;49.933.936;0
41;2;4;0;34.8;5.02;0.92414184;0.82281816;0
38;2;6;12;121.3;9.92;531.856.832;671.439.168;0
35;2;14;14;46.7;9.57;184.130.628;262.788.372;0
39;1;23;19;55.1;5.26;172.156.644;117.669.356;0
29;1;11;9;27.1;7.0;0.836577;1.060.423;0
32;1;4;3;19.7;23.84;144.651.584;324.996.416;1
24;1;2;1;18.7;8.73;0.29221929;134.029.071;1
30;2;2;3;28.4;6.7;0.2625864;16.402.136;1
33;1;14;2;35.4;3.68;0.04429248;125.842.752;0
41;4;11;7;63.3;6.61;197.072.523;221.340.477;0
26;4;1;1;26.0;10.5;0.33033;239.967;0
