age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,0,17,12,-0.22740745360067283,0.2739309593812442,-0.36814259370234714,0.07912206481321546,0
30,1,13,8,-0.018864983554254675,1.172008134745846,-0.09019695201178758,0.5441788217184562,0
40,1,15,14,0.2727082847513853,0.08470399601010734,0.593150569311128,-0.01181756253713662,0
41,1,15,14,0.4696650620174469,2.9426318634329136,0.8311642946784914,2.0130321756361123,0
57,1,7,37,-0.4262951796634604,0.8686442728333886,-0.042538095431077595,-0.09456184326312361,0
45,1,0,13,-0.37802145974530804,-0.8704416286251552,-0.2303291787750903,-0.42350745856844213,0
36,1,1,3,-0.542152107467026,0.41209667866810606,-0.13656430585190057,-0.2760715150938397,1
39,1,20,9,0.6337957097391648,0.33700661383828984,0.07419454014130104,0.6976593328368451,0
43,1,12,11,0.40594375172548586,-0.48898409928968867,-0.06519413840249856,0.005433477442942667,0
34,0,7,12,-0.26795737833192085,0.09521660508628166,-0.06728271592531891,-0.14707366859692717,0
26,1,1,2,-0.49194743875214764,-0.4214030409428542,-0.3429513071110456,-0.31476304770899205,0
37,2,17,10,0.5913148362111907,2.307369914972668,1.7894414576271618,1.3839035570507854,1
44,1,8,15,0.5816600922275602,0.07118778434074044,0.6496443286581174,0.19842682892423139,0
36,2,8,1,0.008168299599910604,-0.7202614989655227,-0.2920225284701617,-0.20383703337416456,1
27,2,1,8,-0.2505788391613859,0.020126540256465424,0.08177050417913388,-0.22371423851185057,0
35,1,7,13,-0.09417198662657243,0.13726704139097864,-0.20817962377941773,0.07094831434489608,0
40,1,12,7,-0.1250671673741898,-0.4604498746543586,-0.11608327817041461,-0.23101422025800014,0
23,1,5,3,-0.5228426194997651,-0.4634534772475512,-0.4299693241762151,-0.3015611746575308,0
51,1,35,7,1.680369957564707,0.7019443289111966,0.4038427013158649,1.9857403142581704,0
45,2,2,26,-0.2486478903646599,-0.7653155378634123,-0.13193674420408233,-0.39039004417804524,1
46,2,24,16,1.0972234209534273,-1.0236253608779804,-0.5187521980262358,0.020713463507940816,0
48,2,1,11,-0.5846329809950002,0.5052083590570781,-0.4543629136595733,-0.16142303545588907,1
27,1,9,2,-0.3934690501191168,0.9542469467393792,-0.5244431243564828,0.17856079341753306,0
28,1,10,9,-0.1501695017316291,-0.6722038574744403,-0.35468535682429786,-0.22024965112807224,0
28,1,3,6,-0.5711163394179174,-0.6031209978310095,-0.4736199380132965,-0.3317767690337777,0
29,1,8,6,-0.25444073675483814,-0.3913670150109277,-0.18885730108067006,-0.24380057900436242,0
28,1,0,0,-0.5267045170932173,-1.3645342552053459,-0.5086502073399761,-0.4452516885515824,0
32,3,6,12,-0.5595306466375609,0.24389493344931754,-0.1871283819684516,-0.3006177239130597,0
38,2,0,9,0.5063530891552428,0.8326010417150768,1.2588656115430932,0.41088724867520204,1
30,1,10,4,-0.32781679103042966,1.0068099921202507,-0.3830875362435285,0.21233213526542824,1
33,2,12,8,0.03133968516062364,-0.10902837125081867,0.20805937370908964,-0.12562540071202138,0
24,1,8,3,-0.4900164899554215,0.6328614692677655,-0.4925512927669273,-0.022493686220041907,0
45,1,3,15,-0.45912130920780403,-1.1858199009103834,-0.49059428472751826,-0.4072418029732541,0
30,1,1,10,-0.018864983554254675,-0.5445507472637527,-0.14355131720528302,-0.20107516353661986,0
44,1,27,17,1.3694872012918062,0.4015840695919317,2.671264353330393,0.30520733466285294,0
33,2,11,4,-0.03817447152151561,-0.5520597537467343,0.0022576173832629036,-0.2777639762917258,0
35,1,4,0,0.0062373508031844825,-1.0987154257077965,-0.39136457968356964,-0.3351165463042015,0
26,1,6,4,-0.49774028514232593,0.06968598304414388,-0.011585461441209253,-0.3604670866450109,1
50,2,10,24,0.06030391711151504,-1.004101944022228,-0.32399064081600104,-0.3075203744073401,0
34,1,0,15,-0.4726379507848867,-0.5430489459671565,-0.317757046457882,-0.34243361660647537,0
21,0,0,2,-0.3413334326075123,-0.6992362808131741,-0.45070811917094034,-0.26564772051797964,1
40,2,20,20,0.44070083006655547,1.0638784413909108,0.7585208029503143,0.7107513039776316,0
45,1,23,5,0.4580793692370904,-0.8734452312183478,-0.26825327580153574,-0.14199924878622056,0
23,1,7,2,-0.49967123393905194,-0.28173552035939603,-0.3663875696638724,-0.2794493290189369,0
28,2,4,7,-0.22933840239739897,-1.2293721385116767,-0.4927015254711427,-0.3839069029032992,0
23,1,5,2,-0.4031237941027473,-1.2654153696299886,-0.5011039249635905,-0.4139720096880443,0
36,2,10,1,-0.21775270961704238,-0.7052434859995594,-0.4402509508192628,-0.222387203975207,0
41,2,9,10,0.029408736363897656,-0.4799732915101108,-0.3802561048856926,-0.04331135959758636,0
35,1,13,15,-0.1501695017316291,-0.8283911923204581,-0.3699706722295571,-0.2732885430640745,0
47,1,4,2,-0.40698569169619947,-0.5160165226284226,-0.17920742675461857,-0.3648248383917715,0
27,1,0,5,-0.6271138545229742,0.8190848300457099,-0.24099690284564598,-0.2520675575840301,0
30,1,11,5,-0.2080979656334119,0.8265938365286916,0.10320722109188793,0.08457425029990187,1
40,2,8,20,0.16264420333799806,-0.3913670150109277,-0.44266563357017963,0.10016140697757207,0
34,1,2,11,-0.35871197177804715,-0.675207460067633,-0.28275538446193293,-0.3398129152936298,0
30,1,1,10,-0.5575996978408347,-0.8809542377013294,-0.47881732729356874,-0.37347020190236024,1
30,2,2,9,-0.5402211586703,1.955948411569128,-0.4259394244975292,0.14465614470243782,0
33,0,9,4,-0.2409240951777554,-0.962051507717531,-0.4384770735868695,-0.31914877825807714,0
37,0,1,3,-0.4262951796634604,-0.957546103827742,-0.42870517101331435,-0.3730778534925768,0
40,2,3,2,0.2939487215153724,-0.07298514013250684,-0.12230065275503038,0.22449416694048618,1
37,1,1,3,-0.4320880260536387,-0.30726614240153355,-0.23514683145179308,-0.3020156012149876,1
42,2,8,4,-0.17720278488579438,-0.6196408120935689,-0.33592595394251173,-0.22038266852959054,0
32,1,16,4,-0.1791337336825205,0.6463776809371328,-0.041305497457581324,0.11540832482870494,0
30,3,5,7,-0.17527183608906827,2.239788856625833,0.7747730553053818,0.35053514597935076,0
49,1,5,15,-0.00921023957062421,-0.517518323925019,-0.06073754600696711,-0.22060699867252248,0
22,1,3,1,-0.6116662641491654,-0.7127524924825411,-0.44973951831868075,-0.37742427431403935,0
46,1,4,20,-0.518980721906313,-0.4619516759509549,-0.45313911995731626,-0.28906102978452486,0
31,1,11,11,-0.437880872443817,-0.39587241890071656,-0.24753187317298628,-0.3212812964185264,1
37,1,4,0,-0.5595306466375609,-0.6947308769233852,-0.3943920960495935,-0.37780291270744815,0
42,1,10,18,0.012030197193362707,1.4753719966583037,1.7019745209907458,-0.062096749147633246,1
40,1,19,14,1.1184638577174142,-0.6226444146867617,-0.09637778625044165,0.2462150150091453,0
42,3,11,4,0.7535145351361827,0.2213679140003729,1.1362289030813548,0.24456511678751514,1
44,1,22,23,1.3714181500885327,1.9859844375010542,3.488850303452429,1.7510175756783821,1
28,2,2,3,-0.3529191253878689,-0.9004776545570816,-0.42324861910003053,-0.3391396872437518,0
53,1,28,32,0.6897932248442217,-0.4319156500190284,0.08038713961146232,0.1314433756442652,0
34,2,15,14,0.19160843528888946,-1.0791920088520441,-0.3767752733635997,-0.29258987278916543,0
43,2,20,7,-0.07679344745603747,-0.8028605702783205,-0.18932768761385924,-0.31706043745711443,0
48,1,20,2,0.5835910410242865,0.026133745442850593,-0.2063425084276731,0.5426508130310619,0
28,1,10,3,-0.518980721906313,2.6693040274523825,-0.27142053377029474,0.25559552342297515,0
41,2,4,0,-0.2486478903646599,-0.7593083326770272,-0.2305647061323346,-0.34502062757025886,0
38,2,6,12,1.421622818803411,-0.023425697344828127,1.2087850956126047,0.5034412362141928,0
35,2,14,14,-0.018864983554254675,-0.07598874272569943,0.06984319940202045,-0.08506812352500262,0
39,1,23,19,0.14333471537073714,-0.7232651015587154,0.030623629851963756,-0.2940580484880805,0
29,1,11,9,-0.397330947712569,-0.4619516759509549,-0.2592456809233447,-0.31080249472234595,0
32,1,4,3,-0.5402211586703,2.067081707517256,-0.05946640314361079,0.0045194081852444655,1
24,1,2,1,-0.5595306466375609,-0.20214005163979068,-0.43754452504619123,-0.270497968599809,1
30,2,2,3,-0.37222861335512986,-0.5070057148488446,-0.44725047747041513,-0.22730524031131963,1
33,1,14,2,-0.2370621975843033,-0.9605497064209347,-0.5187504358618287,-0.2822873139295336,0
41,3,11,7,0.3016725167022767,-0.5205219265182115,0.11223306321527016,-0.14475838814151248,0
26,3,1,1,-0.41857138447655606,0.0636787778577587,-0.4250617487083655,-0.11793381510214564,0
40,1,3,9,-0.24671694156793378,0.07719498952712561,0.5223484280249905,-0.39538789815570774,1
31,1,11,12,-0.2235455560072206,0.06818418174754759,-0.1784081738323751,-0.07209729161188358,0
40,1,2,7,-0.4726379507848867,-0.37034179685857904,-0.21578327803639366,-0.3488468511989879,1
40,1,8,8,-0.15789329691853346,0.15078325306034554,0.295311323012421,-0.19753612874774773,0
26,1,4,3,-0.44946656522417355,-0.7007380821097705,-0.4057101046420085,-0.3294946043164446,0
40,1,10,15,-0.1327909625610943,1.1780153399322317,0.46296291103010395,0.15139373063192377,0
32,1,1,10,-0.5479449538572043,-1.0867010153350258,-0.4621636551966864,-0.41583944064952993,0
32,1,14,9,0.056442019518062936,-0.8103695767613023,-0.3005658159548288,-0.22479331184897672,0
48,1,21,4,0.05064917312788458,-0.7187596976689263,-0.4992678904933596,-0.09526244958204574,0
55,1,19,7,1.3501777133245452,-1.2308739398082729,-0.3819103645638978,-0.2116665357002337,0
25,1,6,2,-0.3799524085420342,-0.5415471446705601,-0.17842201239114958,-0.35863774994330944,0
33,1,3,14,-0.4552594116143518,-1.2188595294355027,-0.47740525058241373,-0.42004842143709115,0
50,2,11,31,-0.2409240951777554,0.08770759860329992,-0.21125099118091456,-0.06471502240505782,0
32,2,0,6,-0.4726379507848867,-0.6406660302459176,-0.4078726930699339,-0.3245286808517088,1
41,0,2,0,0.04292537794098023,2.4410302303697407,1.6055507155731188,0.4882276299585182,1
