age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,35.9,11.9,.5041078,3.7679922,0
30,1,13,8,46.7,17.88,1.35269352,6.99726648,0
40,1,15,14,61.8,10.64,3.43899696,3.13652304,0
41,1,15,14,72,29.67,4.165668,17.196732,0
57,1,7,37,25.6,15.86,1.49819904,2.56196096,0
45,1,0,13,28.1,4.28,.92486092,.27781908,0
36,1,1,3,19.6,12.82,1.21113104,1.30158896,1
39,1,20,9,80.5,12.32,1.8545912,8.0630088,0
43,1,12,11,68.7,6.82,1.4290287,3.2563113,0
34,3,7,12,33.8,10.71,1.42265214,2.19732786,0
26,1,1,2,22.2,7.27,.5810184,1.0329216,0
37,2,17,10,78.3,25.44,7.09134912,12.82817088,1
44,1,8,15,77.8,10.55,3.611476,4.596424,0
36,2,8,1,48.1,5.28,.7365072,1.8031728,1
27,2,1,8,34.7,10.21,1.8777211,1.6651489,0
35,1,7,13,42.8,10.99,.99248492,3.71123508,0
40,1,12,7,41.2,7.01,1.27366092,1.61445908,0
23,1,5,3,20.6,6.99,.31534686,1.12459314,0
51,1,35,7,134.7,14.75,2.861028,17.007222,0
45,2,2,26,34.8,4.98,1.22525928,.50778072,1
46,2,24,16,104.5,3.26,.0442871,3.3624129,0
48,2,1,11,17.4,13.44,.24087168,2.09768832,1
27,1,9,2,27.3,16.43,.02691234,4.45847766,0
28,1,10,9,39.9,5.6,.5451936,1.6892064,0
28,1,3,6,18.1,6.06,.18207876,.91478124,0
29,1,8,6,34.5,7.47,1.0514772,1.5256728,0
28,1,0,0,20.4,.99,.07512912,.12683088,0
32,4,6,12,18.7,11.7,1.0567557,1.1311443,0
38,2,0,9,73.9,15.62,5.47146732,6.07171268,1
30,1,10,4,30.7,16.78,.45847994,4.69298006,1
33,2,12,8,49.3,9.35,2.26328905,2.34626095,0
24,1,8,3,22.3,14.29,.12428013,3.06238987,0
45,1,3,15,23.9,2.18,.130255,.390765,0
30,1,1,10,46.7,6.45,1.18979925,1.82235075,0
44,1,27,17,118.6,12.75,9.7836105,5.3378895,0
33,2,11,4,45.7,6.4,1.6349632,1.2898368,0
35,1,4,0,48,2.76,.4332096,.8915904,0
26,1,6,4,21.9,10.54,1.5926994,.7155606,1
50,2,10,24,50.8,3.39,.63890652,1.08321348,0
34,1,0,15,23.2,6.46,.65793808,.84078192,0
21,3,0,2,30,5.42,.25203,1.37397,1
40,2,20,20,70.5,17.16,3.9438828,8.1539172,0
45,1,23,5,71.4,4.26,.80907624,2.23256376,0
23,1,7,2,21.8,8.2,.509466,1.278134,0
28,2,4,7,35.8,1.89,.12382146,.55279854,0
23,1,5,2,26.8,1.65,.0981684,.3440316,0
36,2,10,1,36.4,5.38,.2839564,1.6743636,0
41,2,9,10,49.2,6.88,.46712448,2.91783552,0
35,1,13,15,39.9,4.56,.49852656,1.32091344,0
47,1,4,2,26.6,6.64,1.08093888,.68530112,0
27,1,0,5,15.2,15.53,.89229168,1.46826832,0
30,1,11,5,36.9,15.58,1.94316876,3.80585124,1
